iter	Passed	Remaining
470	739	830
471	740	828
472	742	826
473	743	825
474	745	823
475	746	822
476	748	820
477	750	819
478	751	817
479	753	815
480	754	814
481	756	812
482	758	811
483	760	810
484	761	809
485	763	807
486	765	806
487	767	804
488	768	803
489	770	801
490	771	800
491	773	798
492	775	797
493	776	795
494	777	793
495	779	791
496	780	790
497	782	788
498	783	787
499	785	785
500	786	783
501	788	782
502	789	780
503	791	778
504	792	777
505	794	775
506	795	773
507	797	772
508	798	770
509	800	769
510	801	767
511	803	765
512	804	764
513	806	762
514	807	760
515	809	758
516	810	757
517	812	755
518	813	754
519	815	752
520	816	751
521	818	749
522	819	747
523	821	746
524	822	744
525	824	743
526	826	741
527	827	739
528	829	738
529	830	736
530	832	735
531	833	733
532	835	731
533	836	729
534	837	728
535	839	726
536	840	725
537	842	723
538	843	721
539	845	720
540	846	718
541	848	717
542	850	715
543	851	713
544	852	712
545	854	710
546	856	709
547	857	707
548	859	706
549	860	704
550	862	702
551	864	701
552	865	699
553	867	698
554	868	696
555	870	694
556	871	693
557	873	691
558	874	690
559	876	688
560	877	686
561	879	685
562	880	683
563	882	681
564	883	680
565	885	678
566	886	677
567	888	675
568	889	674
569	891	672
570	892	670
571	894	669
572	895	667
573	897	665
574	898	664
575	900	662
576	901	660
577	903	659
578	904	657
579	905	655
580	907	654
581	908	652
582	910	650
583	911	649
584	913	647
585	914	646
586	916	644
587	918	643
588	919	641
589	921	640
590	922	638
591	924	637
592	925	635
593	927	633
594	928	632
595	930	630
596	931	629
597	933	627
598	935	626
599	936	624
600	938	623
601	939	621
602	941	619
603	943	618
604	944	616
605	946	615
606	947	613
607	949	611
608	950	610
609	952	608
610	953	607
611	955	605
612	956	603
613	958	602
614	959	600
615	960	599
616	962	597
617	964	595
618	965	594
619	966	592
620	968	591
621	970	589
622	971	588
623	973	586
624	974	584
625	976	583
626	977	581
627	979	580
628	980	578
629	982	576
630	983	575
631	985	573
632	987	572
633	988	570
634	990	569
635	991	567
636	993	565
637	994	564
638	996	562
639	997	561
640	999	559
641	1000	558
642	1002	556
643	1003	554
644	1005	553
645	1006	551
646	1008	550
647	1010	548
648	1011	547
649	1013	545
650	1014	544
651	1016	542
652	1017	540
653	1019	539
654	1020	537
655	1022	536
656	1024	534
657	1025	533
658	1027	531
659	1028	529
660	1030	528
661	1031	526
662	1033	525
663	1034	523
664	1036	522
665	1037	520
666	1039	518
667	1040	517
668	1042	515
669	1043	514
670	1045	512
671	1047	511
672	1048	509
673	1050	508
674	1051	506
675	1053	504
676	1054	503
677	1056	501
678	1057	500
679	1059	498
680	1061	497
681	1062	495
682	1063	493
683	1065	492
684	1066	490
685	1068	488
686	1069	487
687	1071	485
688	1072	484
689	1074	482
690	1075	480
691	1076	479
692	1078	477
693	1080	476
694	1081	474
695	1083	473
696	1084	471
697	1086	469
698	1087	468
699	1089	466
700	1090	465
701	1092	463
702	1093	462
703	1095	460
704	1096	458
705	1098	457
706	1099	455
707	1101	454
708	1102	452
709	1104	451
710	1105	449
711	1107	447
712	1108	446
713	1110	444
714	1112	443
715	1113	441
716	1115	440
717	1117	438
718	1119	437
719	1120	435
720	1121	434
721	1123	432
722	1125	431
723	1126	429
724	1128	428
725	1130	426
726	1131	424
727	1133	423
728	1134	421
729	1135	420
730	1137	418
731	1139	417
732	1141	415
733	1143	414
734	1145	413
735	1147	411
736	1148	409
737	1150	408
738	1152	407
739	1154	405
740	1156	404
741	1158	402
742	1160	401
743	1162	400
744	1164	398
745	1166	397
